i, t, s
880, 0.019955, -30644.564810
881, 0.019977, -30251.226501
882, 0.020000, -29737.956303
883, 0.020023, -29067.552239
884, 0.020045, -28283.281487
885, 0.020068, -27388.276736
886, 0.020091, -26386.104210
887, 0.020113, -25280.749456
888, 0.020136, -24076.601502
889, 0.020159, -22778.435430
890, 0.020181, -21391.393439
891, 0.020204, -19920.964483
892, 0.020227, -18372.962547
893, 0.020249, -16753.503660
894, 0.020272, -15068.981736
895, 0.020295, -13326.043324
896, 0.020317, -11531.561389
897, 0.020340, -9692.608211
898, 0.020363, -7816.427508
899, 0.020385, -5910.405906
900, 0.020408, -3982.043859
901, 0.020431, -2038.926131
902, 0.020454, -88.691966
903, 0.020476, 1860.994945
904, 0.020499, 3802.476581
905, 0.020522, 5728.130669
906, 0.020544, 7630.400609
907, 0.020567, 9501.825124
908, 0.020590, 11335.067531
909, 0.020612, 13122.944499
910, 0.020635, 14858.454196
911, 0.020658, 16534.803710
912, 0.020680, 18145.435637
913, 0.020703, 19684.053729
914, 0.020726, 21144.647508
915, 0.020748, 22521.515746
916, 0.020771, 23809.288712
917, 0.020794, 25002.949120
918, 0.020816, 26097.851669
919, 0.020839, 27089.741123
920, 0.020862, 27974.768842
921, 0.020884, 28749.507720
922, 0.020907, 29410.965445
923, 0.020930, 29956.596057
924, 0.020952, 30384.309743
925, 0.020975, 30692.480835
926, 0.020998, 30879.953983
927, 0.021020, 30946.048473
928, 0.021043, 30890.560686
929, 0.021066, 30713.764677
930, 0.021088, 30416.410876
931, 0.021111, 29999.722923
932, 0.021134, 29465.392641
933, 0.021156, 28815.573174
934, 0.021179, 28052.870319
935, 0.021202, 27180.332079
936, 0.021224, 26201.436484
